timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211471.674,-48.340,-10.254,-20.996,-37.109,-32.227,0
1671211471.675,-83.008,-14.160,-20.020,-44.434,-124.023,0
1671211471.679,-69.336,-19.043,-27.344,-45.898,-118.652,0
1671211471.683,-14.160,-13.672,-29.297,-39.062,-1.465,0
1671211471.687,19.043,-9.766,-27.832,-29.297,10.254,0
1671211471.691,-15.625,-6.836,-23.438,-20.996,-19.531,0
1671211471.695,-59.570,-8.301,-20.020,-18.555,54.199,0
1671211471.699,-56.152,-16.113,-22.461,-20.020,326.172,0
1671211471.702,-8.301,-9.766,-18.066,-21.973,125.977,0
1671211471.706,19.043,-1.465,-25.391,-16.602,-150.879,0
1671211471.710,-17.090,-10.742,-34.180,-13.184,39.062,0
1671211471.714,-70.312,-15.137,-31.250,-16.113,159.668,0
1671211471.718,-74.707,-8.789,-16.602,-24.414,-27.832,0
1671211471.722,-20.508,-11.719,-8.301,-30.762,-133.789,0
1671211471.726,13.184,-14.648,-13.184,-24.414,-112.793,0
1671211471.730,-16.113,-14.160,-12.695,-17.090,-94.727,0
1671211471.734,-63.965,-14.648,-12.207,-20.508,-103.516,0
1671211471.738,-68.848,-16.113,-12.695,-31.738,-73.242,0
1671211471.742,-24.414,-21.973,-17.578,-40.527,68.848,0
1671211471.746,17.578,-21.484,-16.602,-35.156,95.703,0
1671211471.749,-1.953,-21.484,-17.090,-24.902,-33.691,0
1671211471.753,-59.570,-27.832,-22.949,-28.809,-45.898,0
1671211471.757,-76.172,-20.508,-17.578,-26.855,268.555,0
1671211471.761,-38.086,-12.207,-14.648,-25.879,165.527,0
1671211471.765,0.000,-15.137,-20.996,-28.809,-87.891,0
1671211471.780,-9.277,-18.066,-19.531,-18.555,12.207,0
1671211471.784,-61.523,-16.113,-10.742,-22.461,81.543,0
1671211471.788,-84.473,-12.207,-10.254,-41.016,65.918,0
1671211471.792,-43.945,-9.766,-12.207,-39.062,-112.793,0
1671211471.796,-1.465,-13.184,-18.555,-35.156,-92.773,0
1671211471.800,-5.859,-17.090,-20.508,-26.367,291.016,0
1671211471.804,-58.105,-16.113,-17.578,-27.344,196.777,0
1671211471.807,-93.750,-21.973,-22.949,-44.922,-99.609,0
1671211471.811,-54.688,-24.902,-26.855,-44.434,-96.680,0
1671211471.815,3.418,-14.648,-23.438,-33.203,-73.242,0
1671211471.819,10.254,-11.719,-17.578,-23.438,-105.957,0
1671211471.823,-36.133,-15.625,-16.113,-17.090,-116.211,0
1671211471.825,-70.312,-17.090,-22.461,-23.438,61.523,0
1671211471.829,-48.340,-13.184,-23.438,-25.879,183.594,0
1671211471.833,0.977,-8.301,-21.484,-26.855,-45.898,0
1671211471.837,15.625,-10.254,-21.484,-18.555,-69.824,0
1671211471.841,-19.531,-7.324,-17.578,-15.137,35.645,0
