timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211769.768,-26.855,-20.508,-20.996,-28.809,-67.871,0
1671211769.786,-12.207,-21.484,-21.973,-31.738,-130.859,0
1671211769.790,-16.602,-27.344,-18.555,-25.391,-60.059,0
1671211769.794,-37.109,-23.926,-17.578,-21.484,-14.648,0
1671211769.798,-50.781,-17.578,-17.578,-24.902,-57.617,0
1671211769.802,-32.227,-17.090,-14.648,-19.043,-85.938,0
1671211769.806,-9.277,-18.066,-13.672,-13.184,100.098,0
1671211769.810,-18.555,-23.438,-24.902,-24.414,166.016,0
1671211769.813,-49.316,-25.391,-24.414,-33.203,46.875,0
1671211769.817,-51.270,-22.461,-20.508,-34.180,-142.578,0
1671211769.821,-29.297,-20.996,-22.949,-25.391,41.504,0
1671211769.825,-11.230,-12.695,-21.973,-22.949,162.598,0
1671211769.829,-16.113,-14.160,-20.508,-26.855,-92.285,0
1671211769.830,-40.039,-20.996,-21.973,-25.391,-93.262,0
1671211769.834,-50.293,-24.902,-24.902,-34.180,-93.750,0
1671211769.838,-34.668,-23.438,-22.461,-46.875,-162.598,0
1671211769.842,-5.371,-22.949,-20.996,-40.039,-163.086,0
1671211769.846,-0.977,-26.367,-26.855,-27.344,8.789,0
1671211769.850,-27.344,-22.461,-30.762,-29.297,144.043,0
1671211769.854,-45.898,-23.438,-29.297,-35.156,104.004,0
1671211769.857,-35.156,-25.879,-25.391,-37.598,-9.766,0
1671211769.861,-13.184,-24.414,-26.855,-28.809,22.949,0
1671211769.865,-20.020,-26.855,-28.809,-8.789,338.379,0
1671211769.869,-45.410,-28.320,-21.973,-9.766,271.484,0
1671211769.873,-57.617,-21.973,-24.902,-24.902,-112.305,0
1671211769.876,-52.246,-22.461,-37.598,-25.391,-137.207,0
1671211769.880,-28.320,-26.855,-27.832,-16.113,-66.895,0
1671211769.884,-21.484,-30.762,-19.043,-20.508,-131.348,0
1671211769.888,-39.551,-30.273,-20.508,-21.484,-87.402,0
1671211769.892,-55.664,-22.461,-15.625,-22.949,14.648,0
1671211769.896,-48.828,-17.578,-17.090,-31.738,76.172,0
1671211769.900,-25.391,-23.926,-21.973,-30.762,50.781,0
1671211769.903,-11.719,-19.043,-17.090,-20.996,-36.133,0
1671211769.907,-20.508,-12.207,-14.648,-2.930,139.160,0
1671211769.911,-44.922,-20.996,-17.578,-20.508,190.430,0
1671211769.915,-42.969,-20.020,-20.996,-36.133,-122.070,0
1671211769.919,-17.090,-13.184,-26.855,-33.691,-124.023,0
1671211769.922,-0.977,-12.207,-20.996,-26.367,-73.730,0
1671211769.926,-11.719,-17.578,-17.578,-19.043,-32.715,0
1671211769.930,-40.039,-14.160,-15.137,-20.996,-9.766,0
1671211769.934,-49.316,-12.207,-17.090,-20.508,-30.762,0
1671211769.938,-21.973,-19.531,-13.184,-22.461,-0.977,0
1671211769.942,-0.977,-20.508,-9.766,-22.461,-6.348,0
1671211769.946,-11.719,-19.531,-25.391,-19.531,39.551,0
1671211769.949,-36.133,-20.996,-21.973,-19.043,100.098,0
1671211769.953,-44.434,-21.484,-14.648,-15.625,321.777,0
1671211769.957,-24.902,-16.113,-7.324,-20.508,161.133,0
1671211769.961,-4.395,-10.742,-4.395,-20.996,-152.832,0
1671211769.965,-14.160,-9.766,-15.137,-14.648,-93.750,0
1671211769.966,-47.852,-18.555,-20.020,-22.461,-83.496,0
1671211769.970,-56.641,-21.973,-19.043,-30.273,-166.016,0
1671211769.974,-33.203,-18.555,-20.508,-29.297,-220.703,0
1671211769.978,-6.836,-19.043,-25.879,-24.902,-169.434,0
1671211769.982,-3.906,-16.113,-14.160,-20.996,-73.242,0
1671211769.986,-24.902,-15.137,-10.742,-18.555,-1.953,0
1671211769.990,-41.504,-17.578,-25.391,-16.113,-1.953,0
1671211769.993,-35.645,-24.902,-25.391,-18.555,159.180,0
1671211769.997,-17.090,-23.438,-16.602,-22.949,283.691,0
1671211770.001,-11.719,-18.555,-10.742,-16.113,-15.137,0
1671211770.005,-34.668,-21.484,-7.324,-8.789,-45.898,0
1671211770.009,-54.199,-22.461,-7.812,-18.066,0.488,0
1671211770.011,-41.016,-20.020,-16.113,-21.973,-75.195,0
1671211770.015,-15.137,-15.137,-13.672,-15.137,-120.605,0
1671211770.019,-12.207,-18.066,-8.789,-9.766,-40.039,0
1671211770.023,-28.809,-24.902,-10.254,-14.648,14.160,0
1671211770.027,-49.805,-19.531,-14.160,-26.367,-62.012,0
1671211770.031,-47.363,-20.508,-25.879,-34.180,-84.473,0
1671211770.035,-16.113,-20.508,-31.250,-32.715,34.668,0
1671211770.038,-6.836,-19.531,-27.344,-21.484,350.586,0
1671211770.042,-31.738,-23.438,-24.902,-23.438,276.367,0
1671211770.046,-58.105,-21.484,-20.996,-33.691,-77.148,0
1671211770.050,-47.852,-17.090,-18.066,-29.785,-42.969,0
1671211770.054,-21.484,-16.113,-26.367,-27.832,21.973,0
1671211770.056,-14.648,-16.602,-24.414,-23.438,-169.922,0
1671211770.060,-29.785,-20.020,-19.043,-11.230,-180.176,0
1671211770.064,-47.852,-14.648,-28.809,-14.160,-99.121,0
1671211770.068,-48.828,-15.625,-27.832,-26.367,-44.434,0
1671211770.072,-26.855,-16.113,-20.508,-30.762,-84.473,0
1671211770.076,-6.836,-11.230,-21.973,-30.273,-84.961,0
1671211770.080,-16.113,-19.531,-31.738,-20.508,285.156,0
1671211770.083,-39.062,-20.020,-28.809,-13.672,297.363,0
1671211770.087,-47.852,-18.555,-20.020,-29.785,-144.531,0
1671211770.091,-31.250,-20.020,-21.973,-38.574,-156.738,0
1671211770.095,-10.742,-20.996,-22.461,-36.133,-24.902,0
1671211770.099,-19.043,-19.531,-12.695,-26.855,-62.500,0
1671211770.101,-43.457,-18.555,-13.672,-21.973,-92.285,0
1671211770.105,-55.664,-25.879,-29.297,-23.926,-58.105,0
1671211770.109,-37.598,-34.180,-27.344,-33.203,-94.238,0
1671211770.113,-12.695,-29.785,-20.020,-38.574,-137.695,0
1671211770.117,-18.555,-24.414,-15.625,-27.344,-92.773,0
